2026/08/21 12:00:22.003, 0, 1
2026/08/21 12:00:23.031, 0, 113
2026/08/21 12:00:24.077, 0, 113
2026/08/21 12:00:25.125, 64, 5611
2026/08/21 12:00:26.171, 0, 7305
2026/08/21 12:00:27.219, 0, 7879
2026/08/21 12:00:28.248, 78, 7991
2026/08/21 12:00:29.295, 82, 7997
2026/08/21 12:00:30.343, 37, 8013
2026/08/21 12:00:31.387, 99, 8013
2026/08/21 12:00:32.453, 99, 8013
2026/08/21 12:00:33.517, 98, 8013
2026/08/21 12:00:34.563, 94, 8013
2026/08/21 12:00:35.607, 20, 8013
2026/08/21 12:00:36.655, 91, 8013
2026/08/21 12:00:37.699, 98, 8013
2026/08/21 12:00:38.743, 98, 8013
2026/08/21 12:00:39.791, 97, 8013
2026/08/21 12:00:40.839, 98, 8013
2026/08/21 12:00:41.887, 99, 8013
2026/08/21 12:00:42.931, 97, 8013
2026/08/21 12:00:43.975, 99, 8013
2026/08/21 12:00:45.023, 99, 8013
2026/08/21 12:00:46.071, 28, 8013
2026/08/21 12:00:47.119, 97, 8015
2026/08/21 12:00:48.163, 99, 8015
2026/08/21 12:00:49.211, 97, 8015
2026/08/21 12:00:50.255, 98, 8015
2026/08/21 12:00:51.303, 0, 8015
2026/08/21 12:00:52.351, 98, 8015
2026/08/21 12:00:53.399, 99, 8015
2026/08/21 12:00:54.447, 99, 8015
2026/08/21 12:00:55.495, 99, 8015
2026/08/21 12:00:56.543, 97, 8015
2026/08/21 12:00:57.591, 46, 8015
2026/08/21 12:00:58.639, 98, 8015
2026/08/21 12:00:59.683, 98, 8015
2026/08/21 12:01:00.727, 98, 8015
2026/08/21 12:01:01.775, 98, 8015
2026/08/21 12:01:02.823, 97, 8015
2026/08/21 12:01:03.871, 61, 8015
2026/08/21 12:01:04.915, 97, 8015
2026/08/21 12:01:05.963, 98, 8015
2026/08/21 12:01:07.011, 98, 8015
2026/08/21 12:01:08.059, 83, 8015
2026/08/21 12:01:09.107, 98, 8015
2026/08/21 12:01:10.135, 98, 8015
2026/08/21 12:01:11.179, 97, 8015
2026/08/21 12:01:12.227, 35, 8015
2026/08/21 12:01:13.275, 98, 8015
2026/08/21 12:01:14.323, 98, 8015
2026/08/21 12:01:15.389, 98, 8015
2026/08/21 12:01:16.435, 98, 8015
2026/08/21 12:01:17.501, 100, 8015
2026/08/21 12:01:18.547, 98, 8015
2026/08/21 12:01:19.613, 99, 8015
2026/08/21 12:01:20.658, 99, 8015
2026/08/21 12:01:21.703, 96, 8015
2026/08/21 12:01:22.751, 64, 8015
2026/08/21 12:01:23.817, 98, 8015
2026/08/21 12:01:24.863, 97, 8015
2026/08/21 12:01:25.907, 98, 8015
2026/08/21 12:01:26.955, 98, 8015
2026/08/21 12:01:28.003, 100, 8015
2026/08/21 12:01:29.051, 93, 8015
2026/08/21 12:01:30.099, 98, 8015
2026/08/21 12:01:31.143, 99, 8015
2026/08/21 12:01:32.191, 32, 8015
2026/08/21 12:01:33.253, 92, 8015
2026/08/21 12:01:34.299, 97, 8015
2026/08/21 12:01:35.347, 98, 8015
2026/08/21 12:01:36.395, 98, 8015
2026/08/21 12:01:37.439, 38, 8015
2026/08/21 12:01:38.483, 98, 8015
2026/08/21 12:01:39.530, 98, 8015
2026/08/21 12:01:40.575, 98, 8015
2026/08/21 12:01:41.624, 96, 8015
2026/08/21 12:01:42.671, 92, 8015
2026/08/21 12:01:43.715, 98, 8015
2026/08/21 12:01:44.759, 98, 8015
2026/08/21 12:01:45.807, 98, 8015
2026/08/21 12:01:46.856, 98, 8015
2026/08/21 12:01:47.903, 95, 8015
2026/08/21 12:01:48.951, 98, 8015
2026/08/21 12:01:49.999, 97, 8015
2026/08/21 12:01:51.047, 98, 8015
2026/08/21 12:01:52.095, 98, 8015
2026/08/21 12:01:53.143, 94, 8015
2026/08/21 12:01:54.191, 95, 8015
2026/08/21 12:01:55.239, 97, 8015
2026/08/21 12:01:56.283, 98, 8015
2026/08/21 12:01:57.327, 96, 8015
2026/08/21 12:01:58.370, 96, 8015
2026/08/21 12:01:59.415, 36, 8015
2026/08/21 12:02:00.463, 99, 8015
2026/08/21 12:02:01.511, 98, 8015
2026/08/21 12:02:02.559, 97, 8015
2026/08/21 12:02:03.607, 99, 8015
2026/08/21 12:02:04.651, 37, 8015
2026/08/21 12:02:05.699, 98, 8015
2026/08/21 12:02:06.747, 98, 8015
2026/08/21 12:02:07.795, 98, 8015
2026/08/21 12:02:08.861, 96, 8015
2026/08/21 12:02:09.925, 28, 8015
2026/08/21 12:02:10.971, 86, 8015
2026/08/21 12:02:12.015, 98, 8015
2026/08/21 12:02:13.063, 98, 8015
2026/08/21 12:02:14.125, 99, 8015
2026/08/21 12:02:15.171, 96, 8015
2026/08/21 12:02:16.219, 70, 8015
2026/08/21 12:02:17.263, 100, 8015
2026/08/21 12:02:18.311, 98, 8015
2026/08/21 12:02:19.359, 99, 8015
2026/08/21 12:02:20.425, 98, 8015
2026/08/21 12:02:21.471, 98, 8015
2026/08/21 12:02:22.519, 57, 8015
2026/08/21 12:02:23.567, 94, 8015
2026/08/21 12:02:24.610, 98, 8015
2026/08/21 12:02:25.655, 97, 8015
2026/08/21 12:02:26.703, 98, 8015
2026/08/21 12:02:27.747, 97, 8015
2026/08/21 12:02:28.791, 91, 8015
2026/08/21 12:02:29.835, 95, 8015
2026/08/21 12:02:30.879, 98, 8015
2026/08/21 12:02:31.927, 99, 8015
2026/08/21 12:02:32.975, 98, 8015
2026/08/21 12:02:34.023, 99, 8015
2026/08/21 12:02:35.071, 99, 8015
2026/08/21 12:02:36.156, 93, 8015
2026/08/21 12:02:37.203, 98, 8015
2026/08/21 12:02:38.251, 98, 8015
2026/08/21 12:02:39.317, 97, 8015
2026/08/21 12:02:40.363, 99, 8015
2026/08/21 12:02:41.411, 98, 8015
2026/08/21 12:02:42.455, 99, 8015
2026/08/21 12:02:43.499, 97, 8015
2026/08/21 12:02:44.547, 99, 8015
2026/08/21 12:02:45.595, 43, 8015
2026/08/21 12:02:46.639, 98, 8015
2026/08/21 12:02:47.683, 97, 8015
2026/08/21 12:02:48.723, 98, 8015
2026/08/21 12:02:49.767, 97, 8015
2026/08/21 12:02:50.815, 98, 8015
2026/08/21 12:02:51.863, 100, 8015
2026/08/21 12:02:52.907, 98, 8015
2026/08/21 12:02:53.951, 99, 8015
2026/08/21 12:02:54.995, 91, 8015
2026/08/21 12:02:56.039, 96, 8015
2026/08/21 12:02:57.083, 98, 8015
2026/08/21 12:02:58.127, 99, 8015
2026/08/21 12:02:59.171, 97, 8015
2026/08/21 12:03:00.219, 0, 8015
2026/08/21 12:03:01.263, 98, 8015
2026/08/21 12:03:02.307, 99, 8015
2026/08/21 12:03:03.351, 99, 8015
2026/08/21 12:03:04.399, 96, 8015
2026/08/21 12:03:05.447, 100, 8015
2026/08/21 12:03:06.491, 98, 8015
2026/08/21 12:03:07.535, 97, 8015
2026/08/21 12:03:08.579, 98, 8015
2026/08/21 12:03:09.627, 97, 8015
